product_name,product_price,Rate,Review,Summary,Sentiment
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,super!,great cooler excellent air flow and for this price its so amazing and unbelievablejust love it,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,fair,the quality is good but the power of air is decent,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,1,useless product,very bad product its a only a fan,negative
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,nice,very nice,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,1,unsatisfactory,very bad cooler,negative
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,4,worth the money,very good,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,awesome,the cooler is really fantastic and provides good air flow highly recommended,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,highly recommended,very good product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,great product,beautiful product good material and perfectly working,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,mind-blowing purchase,awesome,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,highly recommended,good,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,4,wonderful,product is good having strong thrust of air flow must buy,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,2,expected a better product,bad quality,negative
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,excellent,very nice product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific purchase,very soundless product and low price other company,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,wonderful,nice,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,decent product,great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,waste of money!,small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,not good,poar quality plastic material is not good,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,very good,value for money,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,super!,nice cooler,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,expected a better product,this is my review after using this product for a week1air throw is good2produce less noise3good product at reasonable pricebut it never open from behindnot easy to cleanrefill the watercable is short,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,horrible,cooling fan problem,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,nice,after discount rs 7200 price is okquality is okdelivery as on time okmotor speed 1200 rpm okpump okcolour is ok look is also okwater storage is appx 65 ltd more than 3 large bucket is okstill giving 3 star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,product is really worthy of price 8k however it occupied more space in room should one consider it before buy it worth for that money,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,hated it!,very bad product its water tank is not sufficient for a day tank empty in 4 hours and not open easily for cleaning,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,useless product,wrost cooler ever purchased not even 10 feet throw build quality is not upto mark purchase another good brand cooler instead of this,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,nice cooling nice products but body isnt properly fit,neutral
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,best in the market!,superb cooler in this price,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,awesome,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,1,horrible,dont buy any one,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,2,bad quality,built quality is good but fan is not much powerful as expected it is good for small room i am going to return it,positive
